Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,850,416,42.36435589,-71.06959369,61,42.348762,-71.082383,4415,1992,1
1,854,35,42.35533502,-71.05822917,370,42.35096144,-71.07782811,4871,1984,2
1,1112,189,42.36242784,-71.08495474,3,42.34011512,-71.10061884,5637,1986,2
1,1030,190,42.365673,-71.064263,10,42.350406,-71.108279,5477,1986,2
1,1139,52,42.348717,-71.085954,280,42.380857,-71.070629,5702,1989,1
1,1165,446,42.34960945,-71.10391524,374,42.35668335,-71.06166646,6082,1996,2
1,315,90,42.370677,-71.076529,190,42.365673,-71.064263,5122,1992,1
1,878,74,42.373268,-71.118579,91,42.366277,-71.09169,4408,1994,1
1,763,179,42.35560121,-71.10394478,80,42.36213123,-71.09115601,2642,1989,2
1,1114,67,42.3581,-71.093198,67,42.3581,-71.093198,2663,1997,1
1,276,53,42.35082681,-71.08981088,227,42.349496,-71.10057592,2209,1989,2
1,391,76,42.366426,-71.105495,74,42.373268,-71.118579,5063,1988,1
1,1175,6,42.36121165,-71.0653062,378,42.38032335,-71.10878613,5331,1993,1
1,120,46,42.34366582,-71.08582377,55,42.347265,-71.088088,4502,1994,2
1,661,68,42.36507,-71.1031,179,42.35560121,-71.10394478,1673,1988,2
1,582,352,42.34827839,-71.08044855,420,42.3587253,-71.07079532,2956,1991,1
1,252,218,42.351586,-71.04569256,150,42.344137,-71.052608,5466,1988,1
1,747,380,42.36135838,-71.09670274,36,42.34992828,-71.07739207,4682,1981,1
1,677,67,42.3581,-71.093198,12,42.33624445,-71.08798563,4135,2000,1
1,428,94,42.375603,-71.064608,90,42.370677,-71.076529,5439,1990,2
1,1285,177,42.36264779,-71.10006094,71,42.383405,-71.107593,5237,1973,1
1,307,71,42.383405,-71.107593,108,42.377945,-71.116865,2079,1993,2
0,1933,20,42.35991176,-71.05142981,6,42.36121165,-71.0653062,4943,1969,0
1,1700,409,42.38952436,-71.1169414,105,42.3572185,-71.11387163,4966,1992,2
0,547,90,42.370677,-71.076529,190,42.365673,-71.064263,5818,1990,1
1,327,122,42.345733,-71.100694,14,42.33741748,-71.10286117,3972,1987,1
0,1011,377,42.37927325,-71.10341903,189,42.36242784,-71.08495474,5932,1969,0
1,454,361,42.34924377,-71.0972821,9,42.35169202,-71.11903489,6151,2000,1
1,914,409,42.38952436,-71.1169414,80,42.36213123,-71.09115601,5920,1990,2
1,368,20,42.35991176,-71.05142981,64,42.3510045,-71.04930013,4256,1994,1
1,728,55,42.347265,-71.088088,380,42.36135838,-71.09670274,5139,1989,1
0,557,52,42.348717,-71.085954,420,42.3587253,-71.07079532,4532,1969,0
1,398,179,42.35560121,-71.10394478,68,42.36507,-71.1031,5537,1967,1
1,478,78,42.37967148,-71.0954931,90,42.370677,-71.076529,2584,1968,1
1,567,68,42.36507,-71.1031,185,42.36544486,-71.08277142,4766,1990,1
