material_id	avg_cost	ctr	cvr	ecpm	deep_convert_rate	pay_rate	first_day_roi	valid_play_rate	finish_play_rate	label_ids	v_resolution_id	duration	r_frame_rate	display_type	path
161397	146.653750000	0.0080	0.0047	0.0000	0.0000	0.0385	0.007671130	0.0255	0.0250	352,356,358,360,362,364,366,368,370,372,472,420,457,480,431	4	23	25	vertical	video/20210907/e27adec6021e0c4704dad25104deac14.mp4
161404	198.722063492	0.0067	0.0009	0.0000	0.0000	0.0947	0.000000000	0.0799	0.0758	352,356,358,360,362,364,384,379,372,471,420,456,438,475,370	4	26	25	vertical	video/20210907/bffe894fb0f971398793f2b73438cfa7.mp4
161405	86.932000000	0.0000				0.1250	0.027607785	0.1182		195,199,201,665,205,207,209,221,220,315,306,300,280,270,330,337	4	29	30	vertical	video/20210907/5fd768027c7383f13675a00497e6fc99.mp4
161414	152.334285714	0.0054	0.0000	0.0000	0.0000		0.000000000	0.0500	0.0442	352,356,358,360,362,366,368,370,372,472,456,420,447,477,364	4	29	25	vertical	video/20210907/e3d5dfbb091f0206fb87f67cbaf9fd15.mp4
161418	127.173333333	0.0153	0.0043	0.0001	0.0000		0.000000000			352,356,358,360,362,364,384,379,372,471,420,456,438,475,370	2	26	25	horizontal	video/20210907/30b6e334a293f6e2b4f3797de932a346.mp4
161419	110.137142857	0.0090	0.0138	0.0001	0.0000		0.000000000	0.0111	0.0146	352,356,358,360,362,364,366,368,370,372,472,420,457,480,431	2	23	25	horizontal	video/20210907/65f4174b5b3bcdbb93dadc8ebe6b1c89.mp4
161420	96.027368421	0.0064	0.0042	0.0000	0.0000	0.3714	0.003836626	0.0005	0.0133	352,356,358,360,362,366,368,370,372,472,456,420,447,477,364	2	31	25	horizontal	video/20210907/20ead83b7a6db891c46612249e035438.mp4
161421	77.772164179	0.0039	0.0047	0.0000	0.0000	0.0250	0.001151469	0.0298	0.0179	352,356,406,398,362,364,366,368,370,372,472,459,453,424,475	4	29	25	vertical	video/20210907/fbbc98fa421a36c570cc0eb76b396546.mp4
161422	137.548750000	0.0139	0.0644	0.0009	0.0000		0.000000000			352,356,406,398,362,364,366,368,370,372,472,459,453,424,475	12	29	25	vertical	video/20210907/68a4918f531c582565e45ffc11affbf5.mp4
161424	192.435000000	0.0145	0.0000	0.0000	0.0000						4	27	25	vertical	video/20210907/01a0d44d7d945480aaf1cba83fff8728.mp4
